Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547666264.652047	42.593894	553.428967	184.090820	34.016463	556.154346	51.171324	550.703588	-0.009754	0.017995	1.392962	1.578690
3547666265.376558	42.596425	553.422311	184.080704	33.991862	556.060777	51.200987	550.783844	-0.014683	0.017995	1.388074	1.578690
3547666266.054035	42.602661	553.425312	184.135132	34.154376	556.527971	51.050945	550.322654	-0.019646	0.013538	1.383187	1.573803
3547666266.757532	42.590648	553.424382	184.068024	33.953322	555.953534	51.227974	550.895231	-0.014683	0.013538	1.388074	1.573803
3547666267.405991	42.586462	553.414915	184.093521	34.016424	556.163450	51.156500	550.666380	-0.024644	0.017995	1.378299	1.578690
3547666268.085469	42.599728	553.424310	184.133133	34.145258	556.510075	51.054197	550.338546	-0.004860	0.017995	1.397849	1.578690
3547666268.750938	42.600428	553.419395	184.096710	34.039198	556.195247	51.161657	550.643544	-0.019646	0.017995	1.383187	1.578690
3547666269.475450	42.597541	553.426824	184.091873	34.022985	556.161232	51.172097	550.692415	-0.024644	0.013538	1.378299	1.573803
3547666270.131915	42.614390	553.425506	184.194397	34.364710	557.023113	50.864070	549.827899	-0.024644	0.009054	1.378299	1.568915
3547666270.830414	42.603314	553.422081	184.197449	34.364651	557.044847	50.841977	549.799315	-0.009754	0.017995	1.392962	1.578690
3547666271.501879	42.591757	553.414635	184.140976	34.161749	556.566613	51.021765	550.262657	-0.029679	0.009054	1.373412	1.568915
3547666272.165349	42.591197	553.420781	184.156937	34.212569	556.706901	50.969826	550.134662	-0.029679	0.013538	1.373412	1.573803
3547666272.843829	42.599085	553.423434	184.123718	34.115939	556.429468	51.082231	550.417401	-0.019646	-0.004570	1.383187	1.554252
3547666273.545321	42.589549	553.426260	184.196075	34.345919	557.037709	50.833180	549.814811	-0.014683	0.004541	1.388074	1.564027
3547666274.304857	42.580254	553.423047	184.099457	34.026681	556.222402	51.133827	550.623692	-0.024644	0.004541	1.378299	1.564027
3547666275.008354	42.599519	553.423065	184.217255	34.434220	557.208284	50.764819	549.637846	-0.029679	0.013538	1.373412	1.573803
3547666275.696840	42.591610	553.418480	184.172241	34.264253	556.832441	50.918967	550.004519	-0.024644	0.039872	1.378299	1.603128
3547666276.439364	42.601017	553.425384	184.188553	34.330452	556.974718	50.871581	549.876050	-0.029679	-0.009168	1.373412	1.549365
3547666277.153870	42.604977	553.420325	184.082123	34.004167	556.071000	51.205786	550.769651	-0.029679	0.013538	1.373412	1.573803
3547666277.871375	42.591467	553.419973	184.056839	33.926394	555.852363	51.256539	550.987584	-0.034749	-0.000000	1.368524	1.559140
3547666278.540846	42.598281	553.420221	184.160675	34.231996	556.737640	50.964566	550.102802	-0.039855	-0.000000	1.363636	1.559140
3547666279.278366	42.588724	553.422785	184.043182	33.891242	555.736615	51.286205	551.108954	-0.029679	0.009054	1.373412	1.568915
3547666279.983864	42.588742	553.418448	184.175522	34.272630	556.859709	50.904854	549.977186	-0.034749	-0.009168	1.368524	1.549365
3547666280.712376	42.595757	553.412071	184.149323	34.192350	556.634300	50.999163	550.189843	-0.024644	0.035550	1.378299	1.598240
3547666281.412872	42.590519	553.417392	184.171082	34.259209	556.821694	50.921829	550.013091	-0.034749	0.009054	1.368524	1.568915
3547666282.125376	42.589844	553.418024	184.209229	34.394427	557.137586	50.785261	549.698462	-0.009754	-0.004570	1.392962	1.554252
3547666282.814862	42.596787	553.417988	184.142899	34.172855	556.586168	51.020720	550.249808	-0.029679	-0.000000	1.373412	1.559140
3547666283.527364	42.594691	553.417252	184.097855	34.036644	556.202899	51.152738	550.631605	-0.050179	-0.004570	1.353861	1.554252
3547666284.211847	42.592677	553.417252	184.180267	34.292989	556.897939	50.892365	549.936566	-0.044998	0.004541	1.358749	1.564027
3547666284.936359	43.482586	553.479032	184.859909	39.214767	561.402777	47.750404	545.555288	-0.034749	0.004541	1.368524	1.564027
3547666285.670876	55.265227	554.753877	187.547195	62.577391	549.506758	47.953063	560.000996	-0.039855	-0.004570	1.363636	1.554252
3547666286.358360	74.027063	558.493301	193.300797	82.988297	557.658866	65.065829	559.327735	-0.029679	0.004541	1.373412	1.564027
3547666287.066861	92.125690	564.409819	202.195099	83.973852	560.595695	100.277528	568.223943	-0.024644	-0.000000	1.378299	1.559140
3547666287.714317	109.418379	573.653710	213.145157	113.599466	565.683860	105.237292	581.623561	-0.039855	-0.000000	1.363636	1.559140
3547666291.794195	124.648157	574.175750	107.158623	121.608855	565.704466	127.687459	582.647033	-0.029679	0.035550	1.373412	1.598240
3547666292.470674	131.588236	558.886720	120.127281	125.474853	552.281680	137.701619	565.491759	-0.034749	-0.023139	1.368524	1.534702
3547666293.120131	143.074606	544.214301	136.218842	151.215688	548.051329	134.933525	540.377272	-0.034749	-0.000000	1.368524	1.559140
3547666294.492098	177.456343	527.908929	170.627701	169.973368	522.908421	184.939319	532.909437	-0.019646	0.004541	1.383187	1.564027
3547666295.353707	198.318162	527.553498	187.960648	202.906047	519.810675	193.730277	535.296321	-0.044998	0.004541	1.358749	1.564027
3547666296.716668	238.494611	546.865142	225.922485	240.914147	538.196472	236.075076	555.533813	-0.050179	0.009054	1.353861	1.568915
3547666297.377135	249.118588	561.563482	244.501572	253.766293	553.856418	244.470883	569.270546	-0.044998	0.017995	1.358749	1.578690
3547666298.066622	253.823832	575.954074	259.891785	247.000868	581.823245	260.646796	570.084904	-0.050179	-0.018452	1.353861	1.539589
3547666304.184937	275.321728	574.445540	165.823898	269.659006	581.440795	280.984450	567.450286	-0.065946	-0.042188	1.339198	1.515152
3547666304.860414	289.156647	573.157693	195.354111	284.259368	565.606755	294.053925	580.708631	-0.060652	-0.004570	1.344086	1.554252
3547666307.553314	291.014613	572.661379	190.611191	283.317699	577.325874	298.711527	567.996884	-0.044998	-0.013795	1.358749	1.544477
3547666310.260224	290.776074	572.792413	158.082626	283.188312	567.952386	298.363836	577.632441	-0.050179	-0.023139	1.353861	1.534702
3547666312.965132	291.194396	573.598215	87.678871	293.731058	564.963092	288.657733	582.233338	-0.044998	-0.023139	1.358749	1.534702
3547666314.984558	286.991003	575.224013	358.209381	286.381104	566.244702	287.600903	584.203324	-0.050179	-0.004570	1.353861	1.554252
3547666315.662035	275.506922	573.549698	14.232277	266.547598	574.404397	284.466246	572.694998	-0.071279	-0.023139	1.334311	1.534702
3547666316.320499	263.487380	568.377403	33.523502	255.753140	572.979742	271.221621	563.775063	-0.055396	-0.000000	1.348974	1.559140
3547666316.992976	253.217557	558.992259	50.841564	248.314877	551.444827	258.120237	566.539691	-0.044998	-0.032602	1.358749	1.524927
3547666322.367768	240.252436	521.311988	82.773964	232.262185	517.170021	248.242687	525.453955	-0.050179	-0.018452	1.353861	1.539589
3547666323.045245	238.636443	504.732379	87.186844	244.951548	498.319935	232.321337	511.144824	-0.039855	-0.004570	1.363636	1.554252
3547666323.731730	238.272708	486.533894	91.139374	238.571334	495.528939	237.974081	477.538850	-0.034749	-0.027855	1.368524	1.529814
3547666324.475254	239.235179	469.289443	96.755127	233.902051	476.539116	244.568307	462.039771	-0.050179	-0.009168	1.353861	1.549365
3547666326.536706	252.269878	415.717450	110.513214	257.031255	423.354811	247.508500	408.080089	-0.065946	-0.018452	1.339198	1.539589
3547666327.253211	259.608789	399.723146	117.208824	267.032231	404.811614	252.185347	394.634678	-0.055396	-0.013795	1.348974	1.544477
3547666327.944700	269.778742	383.140737	124.635834	277.484558	378.490962	262.072927	387.790512	-0.044998	-0.027855	1.358749	1.529814
3547666330.761686	279.140889	360.153909	6.158305	280.261895	351.223996	278.019882	369.083822	-0.055396	-0.032602	1.348974	1.524927
3547666332.103633	249.077925	353.384954	18.863838	248.949389	344.385872	249.206461	362.384036	-0.071279	-0.009168	1.334311	1.549365
3547666332.778111	233.565503	347.017643	22.987999	241.123389	351.904192	226.007617	342.131094	-0.050179	-0.023139	1.353861	1.534702
3547666333.453586	217.724444	339.733895	26.223024	209.743624	335.573786	225.705264	343.894003	-0.050179	-0.018452	1.353861	1.539589
3547666334.133067	201.835549	330.875437	32.990334	192.835608	330.907933	210.835490	330.842941	-0.050179	-0.018452	1.353861	1.539589
3547666334.789531	188.239082	320.238111	41.197950	191.386340	328.669883	185.091825	311.806340	-0.055396	-0.023139	1.348974	1.534702
3547666335.477015	176.367741	307.558099	48.251778	184.499322	311.415221	168.236160	303.700977	-0.044998	-0.013795	1.358749	1.544477
3547666336.211532	164.423758	293.345702	54.209019	170.892138	299.603502	157.955379	287.087901	-0.060652	-0.000000	1.344086	1.559140
3547666336.901018	154.251767	277.588812	59.806983	155.299883	286.527573	153.203650	268.650050	-0.060652	-0.027855	1.344086	1.529814
