Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547771087.085216	40.723300	550.504388	178.191284	33.789535	556.242236	47.657065	544.766540	0.037030	0.033654	1.485826	1.397849
3547771087.757690	40.731759	550.507637	178.111542	33.362962	555.674923	48.100555	545.340352	0.041523	0.009786	1.490714	1.373412
3547771088.446175	40.742203	550.507903	178.148727	33.570605	555.945567	47.913801	545.070240	0.037030	0.074576	1.485826	1.441838
3547771089.124661	40.735216	550.503581	178.141632	33.525217	555.890223	47.945215	545.116938	0.037030	0.019435	1.485826	1.383187
3547771089.800132	40.732398	550.505670	178.102097	33.315125	555.603126	48.149671	545.408214	0.050419	0.033654	1.500489	1.397849
3547771090.468608	40.728556	550.504636	178.080963	33.205221	555.444213	48.251892	545.565059	0.041523	0.024208	1.490714	1.388074
3547771091.125065	40.731385	550.507935	178.094864	33.277438	555.551612	48.185333	545.464259	0.050419	0.024208	1.500489	1.388074
3547771091.771521	40.730775	550.507286	178.158997	33.615395	556.018308	47.846156	544.996264	0.041523	0.024208	1.490714	1.388074
3547771092.473016	40.733978	550.511501	178.009293	32.876237	554.899657	48.591718	546.123344	0.032508	0.028947	1.480938	1.392962
3547771093.167508	40.721494	550.506478	178.166016	33.644971	556.067307	47.798018	544.945649	0.023375	0.042969	1.471163	1.407625
3547771093.837979	40.741298	550.511325	178.124420	33.439657	555.773077	48.042939	545.249572	0.045985	-0.004946	1.495601	1.358749
3547771094.524463	40.731253	550.507903	178.094009	33.272999	555.545209	48.189507	545.470598	0.032508	0.028947	1.480938	1.392962
3547771095.225959	40.728190	550.507727	178.119415	33.400306	555.732870	48.056074	545.282584	0.004738	0.024208	1.451613	1.388074
3547771095.899434	40.729587	550.511834	178.094788	33.275255	555.554942	48.183919	545.468726	0.018762	0.052155	1.466276	1.417400
3547771096.566906	40.736843	550.506216	178.196747	33.834525	556.281855	47.639161	544.730577	0.037030	0.009786	1.485826	1.373412
3547771097.246384	40.719222	550.504144	178.152039	33.565668	555.965524	47.872775	545.042764	0.037030	0.033654	1.485826	1.397849
3547771097.931868	40.723871	550.509537	178.110458	33.349481	555.668836	48.098262	545.350238	0.037030	0.014628	1.485826	1.378299
3547771098.630367	40.731694	550.507602	178.130585	33.462628	555.814265	48.000760	545.200938	0.023375	0.000000	1.471163	1.363636
3547771099.297837	40.740178	550.503530	178.138626	33.514019	555.868475	47.966336	545.138585	0.037030	0.004911	1.485826	1.368524
3547771099.981315	40.728036	550.505620	178.138428	33.500813	555.869131	47.955258	545.142108	0.041523	0.038328	1.490714	1.402737
3547771100.645783	40.728707	550.507041	178.173050	33.691475	556.117511	47.765939	544.896572	0.032508	0.047578	1.480938	1.412512
3547771101.354283	40.732326	550.505196	178.122177	33.418901	555.750558	48.045751	545.259835	0.037030	0.014628	1.485826	1.378299
3547771102.004740	40.725569	550.507235	178.051361	33.059330	555.221975	48.391809	545.792496	0.037030	0.019435	1.485826	1.383187
3547771102.656202	40.722704	550.504162	178.084625	33.217509	555.471257	48.227900	545.537067	0.037030	0.009786	1.485826	1.373412
3547771103.338687	40.740041	550.500579	178.062775	33.128112	555.302509	48.351971	545.698649	0.041523	0.000000	1.490714	1.363636
3547771103.989142	40.718845	550.504180	178.103714	33.309826	555.613626	48.127864	545.394734	0.023375	0.019435	1.471163	1.383187
3547771104.678628	40.723035	550.508779	178.113541	33.364582	555.690784	48.081488	545.326775	0.037030	-0.004946	1.485826	1.358749
